UPC,Description,SIZE,ASIN,Pack_QTY,Brand,Manufacturer,"Amazon
Product Title"
028901010010        ,S/S 1.5 QT BOWL                ,1.5 QT,B000MMQ62C,1,Norpro,Norpro,"Norpro 1001 , Silver Stainless Steel Bowl, 1-1/2-Quart, 1.5 Quart"
028901010027        ,S/S 3 QT BOWL                  ,3 QT,B000MMO7MI,1,Norpro,Norpro,"Norpro Stainless Steel Bowl, 3-Quart, Silver"
028901010034        ,S/S 5 QT BOWL                  ,5 QT,B000MMKPFG,1,Norpro,Norpro,"Norpro Stainless Steel Bowl, 5-Quart"
028901010041        ,S/S 8 QT BOWL                  ,8 QT,B000SSSS6M,1,Norpro,Norpro,"Norpro Stainless Steel Bowl, 8-Quart"
028901101121        ,"12"" LAMBSWOOL DUSTER           ","12""",B001CFM9OC,1,Norpro,Norpro,"Norpro Pure Lambswool Duster, 12"""
028901101244        ,"25.5"" LAMBSWOOL DUSTER         ","24""",B001CFO4FE,1,Norpro,Norpro,Norpro 24-Inch Pure Lambs Wool Duster with Wood Handle
028901010133        ,BATTER DISPENSER               ,4 Cup,B005XPES9Q,1,Norpro,Norpro,"Norpro 1013 Batter Dispenser Clear/Red, 4 cup"
028901101480        ,"48"" LAMBSWOOL DUSTER  (4PC MIN ORDER)         ","48""",B001CFPVF6,1,Norpro,Norpro,"Norpro Pure Lambswool Duster, 48"""
028901010164        ,GRIP-EZ 3QT MIXING BOWL        ,3 QT,B000ANY6UW,1,Norpro,Norpro,"Norpro Grip-EZ Mixing Bowl, 3-Quart"
028901010171        ,GRIP-EZ 4QT MIXING BOWL        ,4 QT,B000ANW76C,1,Norpro,Norpro,"Norpro 1017 Grip-EZ Mixing Bowl, 4 quart, Yellow"
028901510190        ,"SILICONE BOWL SET, 3 PC RED    ","6.5""",B001ULC9H0,1,Norpro,Norpro,"Norpro 3 Piece Silicone Bowl Set, Red, 6.5 x 6.5 x 6.2 inches, As Shown"
028901001025        ,WIRE TORTILLA FRY BASKET       ,"4.5""",B00004UE8I,1,Norpro,Norpro,Norpro Wire Tortilla Fry Basket
028901102005        ,LONG REACH GRABBER             ,"30""",B000CRBI98,1,Norpro,Norpro,Norpro Long Reach Grabber
028901010638        ,TORTILLA PRESS                 ,"2.3""",B01LW49566,1,Norpro,Norpro,Norpro 1063 Tortilla Press
028901010645        ,GARLIC BAKER/TORTILLA WARMER   ,"4.5""",B001DM71KG,1,Norpro,Norpro,Norpro Garlic Baker/Tortilla Warmer
028901010676        ,"MINI 4.5"" TORTILLA BAKERS, 4PCS","4.5""",B000MMRNOM,1,Norpro,Norpro,"Norpro Mini 4.5-Inch Tortilla Baker Bowl, Set of 4"
028901010690        ,"N/S TORTILLA BAKERS, 2 PCS     ",1,B00005EBH7,1,Norpro,Norpro,"Norpro Nonstick Tortilla Bowl Bakers/Makers, Set of 2, 1-Pack, Black"
028901010713        ,ROUND DISH BRUSH               ,"8.5""",B000SSSTOS,1,Norpro,Norpro,Norpro NOR-1071 Round Dish Brush
028901510749        ,"SILICONE DISH BRUSH, FLOWER    ","4.33""",B07VY5HDGC,1,Norpro,Norpro,Norpro Red Flower-Shaped Silicone Dish Brush Scrubber
028901010843        ,GRIP-EZ SCRUB BRUSH            ,"3""",B01M0LJVQF,2,Norpro,Norpro,Norpro Grip-EZ Scrub Brush - 3 Inch Vegetable Brush - Non-Slip Grip (2-Pack)
028901810900        ,SILICONE DISH BRUSH GREEN      ,"4.41""",B06XSTXRV7,1,Norpro,Norpro,"Norpro 1090 Silicone Bowtie Dish Brush, Green"
028901011079        ,S/S SOLID SPOON                ,"9""",B0000DI5VZ,1,Norpro,Norpro,"Norpro Stainless Steel Solid Spoon, Silver"
028901011130        ,S/S PIE SERVER                 ,"10.5""",B000E3FECW,1,Norpro,Norpro,"Norpro Stainless Steel Pie Server, One Size, Silver"
028901011321        ,S/S TURNER                     ,"13.5""",B0000VLX8C,1,Norpro,Norpro,"Norpro Stainless Steel Turner, 13.5-Inch, 13.5in/34cm, Silver"
028901011338        ,S/S SOUP LADLE                 ,"12.5""",B0000VLX8M,1,Norpro,Norpro,"Norpro, Silver Stainless Steel Soup Ladle, 12.5-Inch, 12.5in/32cm"
028901011369        ,S/S SPOON                      ,"12.5""",B000KH6PF2,1,Norpro,Norpro,"Norpro Polished Stainless Steel Spoon, 12.5-Inch, Silver"
028901011383        ,HORS D'OEUVRE UTENSILS-SET OF 4,"8""",B00UFSTE6I,1,Norpro,Norpro,"Norpro, Stainless Steel Polished 4 Piece Hors D'oeuvre Utensil Set"
028901001148        ,GRIP-EZ APPLE CORER            ,"10""",B0000VLUFI,1,Norpro,Norpro,"Norpro Grip-EZ Apple Corer, 1 EA, Black"
028901011420        ,S/S SLOTTED TURNER             ,"13.5""",B0000VLXFU,1,Norpro,Norpro,"Norpro Slotted Stainless Steel Turner, 13.5-Inch, 13.5in/34cm, Silver"
028901111496        ,GARLIC PRESS/SLICER            ,"9.6""",B07VD4KD7J,1,Norpro,Norpro,"Norpro 1149 Garlic Press/Slicer with Cleaner, Black"
028901011581        ,LARGE GARLIC BAKER             ,"5.75""",B00004UE6L,1,Norpro,Norpro,Norpro Large Garlic Baker
028901011901        ,PARING KNIFE                   ,"3.5""",B0000VYY4C,1,Norpro,Norpro,Norpro KLEVE Stainless Steel 3.5-Inch Paring Knife
028901011918        ,UTILITY KNIFE                  ,,B00126KKAG,1,Norpro,Norpro,Norpro KLEVE Stainless Steel 5-Inch Utility Knife
028901012014        ,ALL-PURPOSE KNIFE              ,,B000SSPK2C,1,Norpro,Norpro,"Norpro, White All Purpose Knife with Sheath"
028901012021        ,"5"" TOMATO/UTILITY KNIFE        ","5""",B001ULC9GQ,1,Norpro,Norpro,Norpro KLEVE Stainless Steel 5-Inch Serrated Utility Tomato Knife
028901012052        ,"7"" SANTOKU KNIFE               ","7""",B0080S1AB2,1,Norpro,Norpro,Norpro Stainless Steel 7-Inch Santoku Knife
028901012076        ,"8"" BREAD KNIFE                 ","8""",B0080SB3SM,1,Norpro,Norpro,Norpro Stainless Steel 8-Inch Bread Knife
028901012083        ,"5.5"" SANTOKU KNIFE             ","5.5""",B0080S2HHS,1,Norpro,Norpro,"Norpro Santoku Knife, 5.5 Inch"
028901012106        ,16 SLOT KNIFE BLOCK            ,,B001FB59LI,1,Norpro,Norpro,"Norpro 1210 16 Slot Knife Block, 12in/30.5cm x 8.5in/21.5cm x 4.5in/11.5cm, as shown"
028901012113        ,"5"" STEAK KNIFE, 2 PC           ","5""",B00A2T1ECC,1,Norpro,Norpro,"Norpro Stainless Steel 5-Inch Steak Knives, 2 Piece Set"
028901012205        ,"KRONA 13"" S/S SLOTTED SPOON    ","13""",B000SSSUHO,1,Norpro,Norpro,"Krona Stainless Steel Slotted Spoon 13""/33cm"
028901012236        ,"KRONA 12"" S/S LADLE            ","12""",B0000VYXJI,1,Norpro,Norpro,"Norpro Krona Stainless Steel Ladle, 12-Inch, One Size, Metallic"
028901012250        ,"KRONA 12"" S/S SLOTTED TURNER   ","12""",B0000VYXKM,1,Norpro,Norpro,"Norpro, Silver Stainless Steel Slotted Spatula, 12-Inch"
028901001230        ,GRIP-EZ HANDY FLAT GRATER      ,,B0013V70L2,1,Norpro,Norpro,"Norpro Grip-EZ Handy Flat Grater, 1 EA, Black"
028901012311        ,KRONA S/S MASHER W/GUARD       ,"12.83""",B0000W0WWO,1,Norpro,Norpro,Norpro 1231 Krona S/S Masher with Guard
028901012410        ,RAVIOLI MKR W/PRESS & ROLL PIN ,"12.5""",B015QEW6PG,1,Norpro,Norpro,"Norpro 3 Piece Ravioli Maker and Press Set with Rolling Pin, Large, White and silver"
028901012816        ,"GRAPEFRUIT SPOONS, 4 PCS       ","6.8""",B00XAU4T2M,2,Norpro,Norpro,"Norpro 1281 Grapefruit Spoons, Set of 8 (2)"
028901001292,S/S KNOCKDOWN PEPPER ROASTER,"11""",B004UAENZO,1,Norpro,Norpro,"Norpro 129 Knockdown Pepper Roaster Rack, Stainless Steel"
028901013059        ,CAN CRUSHER                    ,"13""",B00004UE6V,1,Norpro,Norpro,NORPRO 1305 Can Crusher Deluxe Can Crusher/Opener
028901001339        ,GRIP-EZ HANDY PEELER           ,"2.25""",B001FBHSMG,1,Norpro,Norpro,"Norpro 133 Grip-EZ My Favorite Handy Peeler, Black"
028901913670        ,"S/S OLIVE SPOON, 36 PC DSP     ","7""",B07BYMH1W2,1,Norpro,Norpro,"Norpro Kitchen Norpro 7"" Stainless Steel Olive Serving Spoon/Cherry Scoop with Drain Holes (1-pack), Silver"
028901001391        ,GRIP-EZ CHEESE KNIFE           ,"11""",B0000VLUJE,1,Norpro,Norpro,"Norpro Grip-EZ Cheese Knife, 11in/28cm"
028901013905        ,"BACON PRESS W/GRILL, CAST IRON ","8.75""",B072L46SJW,1,Norpro,Norpro,Norpro Pre-Seasoned Cast Iron 8.75 Inch Grill Top/Bacon Press
028901001407        ,"BATTERY SIFTER, 5 CUP BX     ",5 Cup,B01LYBIF2E,2,Norpro,Norpro,"Norpro Battery Operated Flour Sifter, 5 Cup Capacity (2-Pack)"
